category_name,name,inventory,price,description,visible,image_url
House Plants,Heather,48,25.99,Heather is a low growing evergreen shrub.,true,https://s-media-cache-ak0.pinimg.com/originals/ac/f8/6e/acf86e0b651fb3506fe147da1f417a46.jpg
Succulents,Haworthia cooperi,20,15.99,"Plants grow in clumps of small rosettes of tiny, fleshy, light green leaves.",true,https://s-media-cache-ak0.pinimg.com/originals/4e/00/bc/4e00bcc4bca5a00e4bcd12db0f0b23be.jpg
Succulents,Peyote,8,35.99,Small spineless cactus that produces flowers sporadically; these are followed by small edible pink fruit,true,http://68.media.tumblr.com/0fbbe86c291048aa3d4eebdfcb590e05/tumblr_mwk5t6rC1F1sq1114o1_500.jpg
Succulents,Dioscorea elephantipes,48,5.99,"It takes the name elephant's foot from the appearance of its large, partially buried, tuberous stem.",true,https://s-media-cache-ak0.pinimg.com/originals/90/4e/46/904e46e4872d15f15e72f0b812d2af0f.jpg
Succulents,String of pearls succulent,48,25.99,"Sprawling over the edges of containers or hanging baskets, the string of beads plant resembles a beaded necklace with its fleshy green, pea-like foliage.",true,https://i.pinimg.com/736x/be/8d/7f/be8d7f8635a78667f4520f5244830e04--flower-pot-arrangements-outdoor-full-sun-succulent-arrangements-pots.jpg
Wall Art Plants,Living wall,48,599.99,Custom orders only. Contact seller for flower options.,true,http://hgtvhome.sndimg.com/content/dam/images/grdn/fullset/2013/11/5/0/17-residential-living-wall-2.jpg.rend.hgtvcom.966.644.suffix/1452742549776.jpeg
Annuals,Petunia Belinda,96,26.37,Masses of vibrant color that will last all summer.,true,https://s-media-cache-ak0.pinimg.com/originals/dc/cf/3a/dccf3a1ce891e593fcc0df6629d742e7.jpg
Annuals,Chrysanthemum,96,26.37,"Each Chrysanthemum flower head is actually a cluster of many flowers, composed of a central group of short disk flowers surrounded by rings of longer ray flowers.",true,https://ae01.alicdn.com/kf/HTB1HHTpJXXXXXbsXFXXq6xXFXXXI/Hermoso-Color-Amarillo-Semillas-de-Crisantemo-Morifolium-crisantemo-Semillas-de-Flores-En-Maceta-de-Plantas-para.jpg_640x640.jpg
Annuals,Pansy,96,26.37,Colorful flowers with faces.,true,https://upload.wikimedia.org/wikipedia/commons/5/52/Pansy_3.jpg
Annuals,Pop Art Red and Yellow Zinnia,96,26.37,"Pure wow factor, dazzling the eye with sensuous color",true,https://fleuroselect.com//assets/varietyimages/Zinniaelegansbicolor-orange-and-red2.jpg
Annuals,Salmon Splash,30,26.37,A bewitching and highly unusual color in the land of impatiens,true,http://hgtvhome.sndimg.com/content/dam/images/hgrm/fullset/2012/3/28/0/CI-burpee_annual-shade-salmon-splash_s4x3.jpg.rend.hgtvcom.966.725.suffix/1409187551504.jpeg
Ornamental Grass,Red Hood Sedge,12,29.97,New Zealand Red Hook Sedge known for its shiny red-bronze foliage.,true,https://i.pinimg.com/736x/a6/0d/f2/a60df23ac93f5a11bbda2f4b00fd77b9--colorful-grasses-red-grasses.jpg
Ornamental Grass,New Zealand Flax,12,29.97,Dramatic plants that have many swordlike evergreen leaves that grow in a fan pattern.,true,http://img1.southernliving.timeinc.net/sites/default/files/styles/etr_slider_landscape/public/1491421454/GettyImages-126017482.jpg?itok=iyRpSCza&timestamp=1491421540
Ornamental Grass,Purple Pampass Grass,12,29.97,Stunning heads of bright Purple plumes of color swaying in the wind.,true,https://cdn.shopify.com/s/files/1/2091/5723/products/619md3MAHoL_grande.jpg?v=1501038341
